GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
ADGRA2	31.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADGRA2 31.25
ADGRA3	814.75	22.0	18.0	1.0	1.0	16.0	5.0	13.0	1.0	0.0	1.0	0.0	3.0	13.0	ADGRA3 814.75
ADGRB1	15.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	ADGRB1 15.0
ADGRB2	3.5	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADGRB2 3.5
ADGRD1	51.75	2.0	6.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	ADGRD1 51.75
ADGRE1	101.25	2.0	6.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	ADGRE1 101.25
ADGRE2	303.75	1.0	3.0	3.0	0.0	3.0	3.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	ADGRE2 303.75
ADGRE3	6.75	2.0	4.0	3.0	0.0	4.0	4.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	ADGRE3 6.75
ADGRE5	6981.75	5.0	18.0	0.0	2.0	18.0	18.0	0.0	0.0	0.0	2.0	0.0	18.0	0.0	ADGRE5 6981.75
ADGRF1	448.75	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADGRF1 448.75
ADGRF2	18.75	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ADGRF2 18.75
ADGRG1	331.25	11.0	11.0	0.0	0.0	11.0	5.0	6.0	0.0	0.0	0.0	0.0	5.0	6.0	ADGRG1 331.25
ADGRG3	15.5	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADGRG3 15.5
ADGRG5	227.25	3.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADGRG5 227.25
ADGRG6	12.25	1.0	9.0	1.0	0.0	8.0	9.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	ADGRG6 12.25
ADGRL1	2487.25	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	ADGRL1 2487.25
ADH4	168.75	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADH4 168.75
ADH5	767.0	9.0	8.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	ADH5 767.0
ADH6	14.25	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADH6 14.25
ADH7	3.25	1.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	ADH7 3.25
ADHFE1	156.0	4.0	12.0	1.0	1.0	13.0	11.0	1.0	1.0	0.0	1.0	0.0	12.0	1.0	ADHFE1 156.0
