GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
OR2M4	51.66666666666666	3.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR2M4 51.66666666666666
OR2T11	1.0	2.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	OR2T11 1.0
OR2T12	199.33333333333331	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR2T12 199.33333333333331
OR2T33	44.0	2.0	5.0	2.0	1.0	7.0	5.0	0.0	2.0	0.0	1.0	0.0	7.0	0.0	OR2T33 44.0
OR2V1	4.833333333333333	2.0	3.0	0.0	2.0	3.0	3.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	OR2V1 4.833333333333333
OR2V2	58.66666666666666	4.0	7.0	0.0	2.0	7.0	7.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	OR2V2 58.66666666666666
OR2W3	4.166666666666667	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OR2W3 4.166666666666667
OR3A3	61.5	12.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	OR3A3 61.5
OR4D1	49.5	5.0	4.0	0.0	1.0	4.0	2.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	OR4D1 49.5
OR4D9	335.8333333333333	4.0	8.0	0.0	3.0	8.0	8.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	OR4D9 335.8333333333333
OR4E2	4.333333333333333	7.0	5.0	1.0	1.0	6.0	5.0	0.0	1.0	0.0	1.0	0.0	6.0	0.0	OR4E2 4.333333333333333
OR4F15	27.83333333333333	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR4F15 27.83333333333333
OR4K2	2.333333333333333	13.0	3.0	1.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	OR4K2 2.333333333333333
OR51D1	8.166666666666666	2.0	4.0	0.0	2.0	4.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	OR51D1 8.166666666666666
OR51M1	59.66666666666666	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OR51M1 59.66666666666666
OR52E4	18.83333333333333	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR52E4 18.83333333333333
OR52K1	32.833333333333336	11.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	OR52K1 32.833333333333336
OR52N1	15.333333333333334	5.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	OR52N1 15.333333333333334
OR52N2	8.333333333333334	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	OR52N2 8.333333333333334
OR56A1	38.66666666666666	2.0	3.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	OR56A1 38.66666666666666
OR56A4	95.5	10.0	4.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	OR56A4 95.5
OR5A1	105.33333333333331	3.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR5A1 105.33333333333331
OR5A2	109.83333333333331	7.0	4.0	0.0	0.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	OR5A2 109.83333333333331
OR5AU1	102.83333333333331	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	OR5AU1 102.83333333333331
OR5H14	64.16666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR5H14 64.16666666666667
OR6B1	4.5	1.0	2.0	6.0	0.0	6.0	2.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	OR6B1 4.5
OR6C4	32.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR6C4 32.5
OR6C6	17.333333333333332	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR6C6 17.333333333333332
OR6J1	111.16666666666669	3.0	8.0	7.0	0.0	10.0	8.0	0.0	7.0	0.0	0.0	0.0	10.0	0.0	OR6J1 111.16666666666669
OR7A17	143.83333333333334	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OR7A17 143.83333333333334
OR7C1	170.16666666666666	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR7C1 170.16666666666666
