H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	CLIP1	9147.0
0	CLIP2	197.5
0	CLIP4	1854.25
0	CLK2	1622.25
0	CLK3	1712.5
0	CLN8	839.25
0	CLPB	3399.25
0	CLRN1	3.75
0	CLSPN	648.75
0	CLSTN1	1937.5
0	CLSTN3	1036.0
0	CLTA	1268.75
0	CLU	139.25
0	CLUAP1	772.75
0	CLUH	3488.0
0	CLVS1	93.0
0	CLYBL	62.0
0	CMIP	1083.5
0	CMTM6	789.25
0	CNBD2	158.75
0	CNDP1	181.25
0	CNGA1	70.5
0	CNGB1	53.0
0	CNGB3	3.75
0	CNN3	23.75
0	CNNM1	80.25
0	CNNM4	287.0
0	CNOT10	811.25
0	CNOT11	1210.75
0	CNOT6	1142.5
0	CNOT7	2493.0
0	CNTD2	17.5
0	CNTN1	37.0
0	CNTN4	13.5
0	CNTNAP2	165.25
0	CNTNAP5	8.25
0	COA6	317.5
0	COASY	1004.25
0	COBLL1	177.5
0	COCH	51.75
0	COG2	836.25
0	COL10A1	422.5
0	COL16A1	4.25
0	COL17A1	28.0
0	COL1A1	149.25
0	COL23A1	17.25
0	COL28A1	183.75
0	COL3A1	0.5
0	COL4A2	30.0
0	COL4A6	0.25
0	COL5A2	1.75
0	COL6A3	1158.25
0	COL6A6	11.0
0	COL8A2	16.25
0	COL9A1	219.5
0	COLEC12	1107.0
0	COLGALT2	74.75
0	COLQ	186.75
0	COMMD1	215.0
0	COMMD8	57.5
0	COMMD9	410.5
0	COPG2	485.25
0	COPS8	480.75
0	CORO1C	418.5
0	CORO6	84.75
0	CORT	4.25
0	COTL1	2777.25
0	COX4I1	3869.75
0	COX5A	1398.5
0	COX6B1	77.5
0	COX6C	635.5
0	CP	68.5
0	CPA3	12.25
0	CPA4	182.25
0	CPA5	17.0
0	CPB1	17.5
0	CPD	1942.75
0	CPEB1	8.25
0	CPEB3	210.0
0	CPEB4	1352.25
0	CPED1	29.5
0	CPLX2	34.0
0	CPLX3	5.25
0	CPLX4	5.5
0	CPM	636.0
0	CPNE2	168.5
0	CPNE3	576.0
0	CPNE6	132.25
0	CPNE9	4.5
0	CPO	1.0
0	CPPED1	401.5
0	CPS1	201.75
0	CPSF2	2347.5
0	CPSF6	2259.0
0	CPT1B	337.5
0	CPT1C	195.25
0	CPVL	3.75
0	CR1	615.5
0	CRABP2	6.75
0	CRB1	19.75
0	CRB2	78.75
0	CREB3L2	1971.25
0	CREB5	20.25
0	CREG1	528.25
0	CRIP1	504.5
0	CRIP3	6.75
0	CRISPLD1	2.5
0	CRKL	6310.0
0	CROCC	844.5
0	CRTAM	288.5
0	CRTC2	4050.25
0	CRX	742.5
0	CRY1	424.25
0	CRYGS	45.0
0	CSDC2	9.0
0	CSF1	2099.5
0	CSK	2043.5
0	CSMD1	17.0
0	CSMD2	86.0
0	CSMD3	236.75
0	CSNK1E	1629.75
0	CSNK1G1	1719.5
0	CSNK2A1	5558.75
0	CSNK2A2	6113.25
0	CSNK2A3	5.0
0	CSRNP2	668.75
0	CSRNP3	9.0
0	CSRP1	914.5
0	CSTL1	50.25
0	CTAGE1	4.0
0	CTBP1	1229.25
0	CTBP2	293.0
0	CTCFL	358.5
0	CTDSPL2	1991.25
0	CTHRC1	16.0
0	CTNNA1	452.75
0	CTNNA2	33.0
0	CTNNAL1	30.5
0	CTNNBIP1	30.25
0	CTNND2	7.25
0	CTNS	278.75
0	CTPS1	4540.0
0	CTPS2	81.5
0	CTRB1	23.5
0	CTSC	1179.0
0	CTSE	2.75
0	CTSK	145.75
0	CTSV	151.5
0	CTSW	551.75
0	CTTNBP2NL	123.75
0	CTU1	47.0
0	CUBN	486.5
0	CUEDC1	2.5
0	CUX1	2072.25
0	CUZD1	17.25
0	CX3CR1	48.75
0	CXCL10	19.75
0	CXCL11	9.0
0	CXCL8	8.5
0	CXCL9	118.5
0	CXCR2	52.25
0	CXCR3	1442.25
0	CXCR4	8612.75
0	CXCR6	211.25
0	CXorf21	89.75
0	CXorf56	926.5
0	CYB561	253.25
0	CYB561A3	913.75
0	CYB5R1	359.5
0	CYB5R2	153.75
0	CYB5R3	4577.75
0	CYB5R4	848.5
0	CYB5RL	1107.75
0	CYBB	8.5
0	CYFIP1	246.5
0	CYGB	7.0
0	CYP11A1	29.0
0	CYP17A1	190.5
0	CYP2A6	7.5
0	CYP2B6	172.0
0	CYP2C19	97.5
0	CYP2C8	10.0
0	CYP2C9	42.5
0	CYP2E1	46.75
0	CYP3A4	47.5
0	CYP3A43	565.5
0	CYP3A5	1980.25
0	CYP4V2	2084.0
0	CYP51A1	2367.25
0	CYP7B1	1.25
0	CYP8B1	71.75
0	CYSTM1	243.25
0	CYTH3	104.5
