RE_count	Gene_Name	Mean_Gene_Expression
0	NUP214	1319.6666666666667
0	NUP93	1956.0
0	NUP98	1206.3333333333333
0	NUTM1	2.1666666666666665
0	NXPE4	1.3333333333333333
0	OGFR	63.833333333333336
0	OMA1	935.6666666666666
0	OMD	76.0
0	OPA1	615.8333333333334
0	OR10A4	0.1666666666666666
0	OR10H1	241.83333333333331
0	OR10J1	46.833333333333336
0	OR14A2	3.8333333333333335
0	OR1C1	0.5
0	OR2AT4	149.16666666666666
0	OR2J3	2.0
0	OR2L13	7.333333333333333
0	OR4Q3	2.833333333333333
0	OR51E2	40.0
0	OR51L1	17.833333333333332
0	OR52E4	18.83333333333333
0	OR52I1	115.0
0	OR52I2	0.3333333333333333
0	OR52N4	1.1666666666666667
0	OR5T2	0.3333333333333333
0	OR6Y1	129.66666666666666
0	OR7A5	4.5
0	OR7C1	170.16666666666666
0	OR8D4	10.333333333333334
0	OSBPL11	368.6666666666667
0	OSBPL2	1170.3333333333333
0	OSBPL8	1777.0
0	OXT	1.0
0	P2RY1	88.5
0	PAAF1	1685.3333333333333
0	PACRG	24.5
0	PAGR1	210.16666666666663
0	PALD1	40.66666666666666
0	PALLD	47.66666666666666
0	PAQR3	104.5
0	PARP10	96.33333333333331
0	PARP6	590.5
0	PC	68.5
0	PCDH10	1.0
0	PCDHB16	18.33333333333333
0	PCDHGA6	105.5
0	PCDHGA8	88.83333333333333
0	PCGF1	640.1666666666666
0	PCIF1	1579.0
0	PCNA	872.5
0	PCYT1A	862.6666666666666
0	PCYT1B	57.16666666666666
0	PDCD2	283.8333333333333
0	PDE5A	67.66666666666667
0	PDHX	639.5
0	PDILT	12.333333333333334
0	PDLIM5	1112.8333333333333
0	PELI2	192.0
0	PELP1	284.6666666666667
0	PHC3	4249.833333333333
0	PHF13	71.5
0	PHLPP1	306.0
0	PHYH	580.1666666666666
0	PIGA	135.5
0	PIGK	1201.8333333333333
0	PIK3R5	563.8333333333334
0	PIN1	1478.8333333333333
0	PIP5K1B	3.0
0	PITRM1	1049.1666666666667
0	PKD1L3	7.166666666666667
0	PKD2	331.6666666666667
0	PKIB	162.16666666666666
0	PLAC8L1	0.3333333333333333
0	PLB1	92.5
0	PLD1	354.3333333333333
0	PLEKHA1	843.3333333333334
0	PLEKHG1	102.83333333333331
0	PLEKHS1	8.0
0	PLIN4	18.0
0	PMAIP1	416.0
0	PMFBP1	11.833333333333334
0	PMS1	714.8333333333334
0	POLD2	1434.0
0	POLN	162.33333333333334
0	POLR3F	208.33333333333331
0	PON3	34.666666666666664
0	POU6F2	60.0
0	PPFIA1	562.6666666666666
0	PPFIA3	0.6666666666666666
0	PPFIBP2	28.666666666666668
0	PPIB	10076.833333333334
