	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
AC089987.1	1	8	10	11	2	4
AC090004.1	0	2	13	0	0	5
AC090013.1	2	5	8	7	0	6
AC090018.1	4	8	0	4	0	5
AC090058.1	0	4	4	3	0	3
AC090114.1	1	15	0	0	0	13
AC090114.3	0	52	13	28	173	20
AC090241.1	3	8	12	8	6	13
AC090286.3	0	13	32	5	131	7
AC090287.3	2	3	3	2	0	0
AC090360.1	1	7	0	6	0	1
AC090498.1	654	1130	437	725	193	589
AC090515.2	3	12	1	5	8	8
AC090517.1	0	6	0	4	0	0
AC090517.4	184	373	173	147	75	139
AC090519.1	189	103	1	30	364	49
AC090525.1	9	9	6	6	11	14
AC090527.3	0	0	35	50	0	0
AC090543.2	6	17	11	11	4	23
AC090543.3	4	18	8	10	2	0
AC090589.1	6	7	7	3	6	12
AC090602.1	3	8	2	10	1	1
AC090607.2	9	59	24	45	30	40
AC090616.5	0	14	0	0	0	1
AC090686.1	7	4	2	6	1	6
AC090720.1	20	42	21	38	18	37
AC090751.1	0	0	11	4	0	3
AC090950.1	29	132	62	68	48	60
AC090953.1	0	1	8	5	0	4
AC090971.4	0	35	112	14	0	28
AC090971.5	1	2	0	13	0	5
AC091057.6	0	3	0	1	6	0
AC091133.7	1	11	0	1	0	3
AC091152.1	0	7	0	4	1	1
AC091163.3	0	0	54	0	0	0
AC091167.2	0	80	5	24	0	55
AC091167.7	0	36	0	9	0	4
AC091179.2	3	2	1	3	2	0
AC091180.1	1	3	0	2	1	3
AC091185.2	0	1	18	5	0	7
AC091304.7	35	0	0	0	29	0
AC091390.1	0	4	4	6	1	1
AC091390.3	0	18	15	7	9	1
AC091390.4	0	17	21	24	0	19
AC091390.5	0	4	10	1	0	3
AC091516.1	0	6	0	5	0	8
AC091551.1	0	8	0	7	27	8
AC091564.1	8	54	5	15	1	9
AC091685.2	0	5	3	1	2	2
AC091959.1	0	5	2	2	0	7
AC091959.2	1	17	8	20	0	6
AC091959.3	642	1219	1177	731	14	743
AC091965.2	0	4	0	2	0	8
AC091980.1	2	0	2	2	8	0
AC092032.1	0	13	6	3	0	5
AC092053.2	26	82	36	35	78	39
AC092066.1	5	5	1	0	0	3
AC092070.2	102	528	130	247	98	216
AC092073.1	0	0	0	0	0	22
AC092120.2	0	19	0	10	0	4
AC092128.1	24	27	11	29	7	20
AC092155.2	1	1	3	9	1	0
AC092299.1	0	0	18	26	0	0
AC092324.2	1	1	3	5	0	2
AC092329.3	96	131	61	79	0	97
AC092427.1	3	0	2	4	2	0
AC092431.2	1	6	2	10	0	14
AC092447.10	5	23	15	13	4	18
AC092447.9	73	71	24	30	12	27
AC092471.1	0	2	1	2	0	6
AC092474.1	63	123	48	74	68	90
AC092506.1	30	70	63	55	41	25
AC092535.3	0	0	14	6	0	0
AC092580.1	0	4	0	7	0	1
AC092587.1	53	161	96	60	0	62
AC092597.1	18	22	20	26	7	7
AC092634.3	26	6	29	7	0	6
AC092656.1	52	124	85	83	67	88
AC092658.1	0	4	0	1	0	5
AC092718.3	45	158	34	94	22	87
AC092718.8	33	123	55	103	43	87
AC092747.2	0	14	0	18	0	19
AC092754.1	14	13	3	6	0	8
AC092757.1	0	7	1	5	0	6
AC092798.1	15	2	3	10	0	13
AC092809.2	1	7	0	2	1	1
AC092821.2	44	109	36	70	41	97
AC092835.1	0	44	0	6	0	0
AC092865.1	15	9	13	15	1	10
AC092868.2	0	8	1	0	5	8
AC092933.1	34	82	65	55	18	62
AC092953.1	34	30	24	30	40	24
AC093106.1	1	3	4	4	0	6
AC093107.1	5	12	9	11	0	2
AC093142.1	6	3	3	6	3	2
AC093155.2	0	1	52	0	0	0
AC093162.3	15	5	2	1	0	4
AC093166.2	21	2	0	2	0	1
AC093214.1	35	0	0	2	0	3
AC093278.1	0	0	45	0	0	0
AC093323.1	326	284	74	154	37	214
AC093367.1	0	4	0	11	0	9
AC093422.1	4	5	3	10	3	5
AC093423.1	0	5	2	11	0	8
AC093512.2	299	294	100	154	53	187
AC093591.1	13	0	2	0	0	0
AC093663.2	0	18	5	18	0	5
AC093700.2	0	30	1	1	13	18
AC093716.1	0	0	12	0	0	0
AC093752.1	249	556	686	312	424	559
AC093770.1	0	10	9	3	0	10
AC093809.1	21	9	13	14	17	15
AC093826.2	14	62	59	45	49	45
AC093827.3	0	5	44	13	1	18
AC093827.5	276	348	184	272	157	235
AC093829.1	0	0	3	5	7	2
AC093890.1	0	10	4	1	0	15
AC093909.1	0	0	0	0	104	15
AC094019.2	1	13	0	13	0	8
AC095040.1	0	0	96	14	0	10
AC096533.1	1	6	1	5	0	3
AC096638.1	0	8	1	0	1	4
AC096664.2	12	2	0	4	2	3
AC096751.1	0	36	0	29	110	23
AC096775.1	1	3	2	5	3	2
AC096887.1	5	7	11	11	0	2
AC096921.1	0	0	7	7	0	3
AC097358.1	3	7	7	3	7	2
AC097374.1	143	402	129	118	39	26
AC097376.2	0	21	32	11	0	8
AC097504.1	2	21	3	2	9	16
AC097625.2	0	9	0	6	0	3
AC097636.1	22	65	26	40	26	32
AC097637.1	36	85	44	0	369	0
AC097638.1	3	8	2	6	10	6
AC097658.2	0	0	0	16	0	22
AC097714.1	7	207	0	69	0	31
AC098484.3	63	129	69	47	0	85
AC098583.1	9	14	7	10	7	12
AC098588.2	0	42	0	44	253	23
AC098591.2	38	121	31	79	60	67
AC098591.3	35	69	33	37	0	51
AC098614.1	7	6	4	7	0	6
AC098614.2	82	23	0	14	0	5
AC098650.1	0	88	24	64	6	47
AC098827.1	0	10	0	0	0	6
AC098847.1	19	9	4	2	4	2
AC098850.3	0	0	0	0	16	8
AC098934.1	2	94	35	70	17	37
AC098934.2	15	181	33	60	34	92
AC098934.3	0	12	2	7	0	7
AC098935.1	9	11	6	7	2	7
AC099335.1	11	5	2	3	1	2
AC099336.1	0	25	28	14	3	30
AC099336.2	1	6	1	5	1	4
AC099340.1	7	8	6	8	2	7
AC099489.1	44	117	60	85	33	86
AC099513.1	1	2	1	6	0	7
AC099535.1	3	4	1	2	0	1
AC099548.2	128	275	351	102	1	24
AC099654.4	5	9	1	9	6	5
AC099677.1	0	3	1	2	0	4
AC099782.2	0	6	0	1	0	6
AC099842.1	0	6	0	3	0	8
AC099850.3	0	8	0	16	67	0
AC100757.3	17	21	30	30	33	33
AC100793.1	7	0	0	2	1	1
AC100868.1	0	4	4	0	4	3
AC103563.1	44	13	9	6	1	0
AC103591.2	1	0	35	0	0	0
AC103592.1	0	3	0	5	0	3
AC103705.1	56	41	38	20	0	26
AC103706.2	0	0	12	0	0	0
AC103792.1	0	0	0	0	0	11
AC103810.1	36	78	75	61	11	13
AC103810.6	0	1	5	5	0	0
AC103810.9	119	88	31	40	31	32
AC103987.2	203	106	40	68	0	61
AC104046.1	0	19	0	11	0	9
AC104066.3	181	63	6	24	7	15
AC104109.3	0	0	0	0	13	0
AC104115.1	12	12	0	6	0	7
AC104115.2	0	12	7	5	0	5
AC104117.2	0	12	14	4	0	9
AC104162.1	1	35	10	19	25	23
AC104212.3	18	10	2	8	3	9
AC104333.2	1	1	0	1	12	1
AC104333.3	0	5	3	1	0	1
AC104339.1	6	7	8	4	1	3
AC104389.5	136	280	116	170	105	186
AC104446.2	0	13	11	13	443	7
AC104452.1	33	307	606	88	0	152
AC104455.1	0	14	0	17	0	21
AC104472.3	133	166	84	153	80	20
AC104563.1	2	2	3	2	0	6
AC104581.1	4	3	3	3	1	1
AC104619.3	56	42	30	33	12	38
AC104634.1	8	16	8	10	5	10
AC104763.1	0	16	6	7	0	21
AC104763.2	1	11	0	4	0	6
AC104772.1	37	121	102	87	72	107
AC104837.1	8	31	7	31	0	29
AC104843.1	7	1	2	6	0	3
AC104849.1	3	1	4	7	2	6
AC104996.2	149	1	0	6	0	0
AC104996.3	0	11	8	3	0	7
AC105036.1	0	19	0	14	0	14
AC105052.1	0	4	0	15	0	11
AC105052.2	0	14	1	10	0	3
AC105052.3	383	211	67	100	127	1117
AC105129.1	48	17	23	14	0	9
AC105129.3	0	9	18	12	0	8
AC105137.1	0	1	0	4	0	12
AC105233.2	37	82	66	88	29	90
AC105339.1	28	64	34	29	17	35
AC105429.2	0	8	0	3	0	10
AC106707.2	6	0	0	1	10	2
AC106782.1	107	192	124	120	49	114
AC106782.4	0	8	0	2	0	9
AC106795.4	77	175	153	158	85	139
AC106800.1	1	4	89	1	0	2
AC106800.2	0	31	0	0	0	2
AC106820.1	2	12	4	1	0	2
AC106865.1	137	252	164	144	166	114
AC106872.2	15	23	7	22	12	6
AC106886.6	125	980	485	214	0	523
AC107032.1	10	2	0	4	10	0
AC107081.3	0	8	0	1	0	23
AC107398.1	4	7	3	5	0	10
AC107871.1	9	124	9	47	4	71
AC107918.4	5	38	41	29	5	31
AC107982.1	52	0	77	0	0	0
AC108022.2	18	13	21	14	3	10
AC108059.2	1	2	0	0	10	1
AC108108.1	131	97	52	38	0	40
AC108161.1	3	3	1	5	0	2
AC108693.1	0	18	0	10	158	27
AC108734.2	6	3	0	1	0	0
AC108738.1	0	3	0	5	0	11
AC108751.5	10	7	9	9	1	9
AC109446.1	21	22	23	8	0	13
AC109446.2	0	4	2	1	0	9
AC109583.4	0	14	0	0	0	3
AC109631.1	0	2	0	7	0	11
AC110056.1	13	20	8	13	6	3
AC110079.1	64	107	111	118	279	256
AC110373.1	0	9	0	1	0	3
AC110602.1	0	4	5	0	1	4
AC110926.1	196	312	256	199	162	188
AC110994.3	1	72	34	35	1	86
AC111200.1	56	57	43	52	70	47
AC112128.1	26	59	0	44	1	74
AC112173.1	0	0	42	9	0	2
AC112191.1	6	13	12	15	1	15
AC112191.2	76	112	49	82	32	94
AC112206.4	1	14	14	25	4	15
AC112225.1	48	5	0	4	0	7
AC112497.2	88	60	26	19	35	70
AC112673.1	21	12	0	12	0	8
AC112694.1	78	200	28	90	1	83
AC113348.1	9	17	7	13	0	3
AC113368.1	0	0	35	0	0	0
AC113398.1	4	3	0	5	1	2
AC113410.2	0	5	16	1	0	7
AC113608.1	4	10	1	5	1	10
AC113935.1	0	0	27	20	0	0
AC114402.1	1	9	1	7	0	2
AC114490.1	87	1	0	0	0	0
AC114490.2	662	377	99	156	3	239
AC114490.3	11	22	54	21	4	31
AC114495.1	7	2	4	1	12	1
AC114495.2	50	91	77	40	89	71
AC114728.1	12	9	14	4	25	7
AC114755.2	11	0	0	1	0	0
AC114936.1	497	349	466	194	31	417
AC114947.1	3	2	3	1	1	3
AC114964.1	16	3	2	2	2	4
AC115223.1	7	22	2	11	0	0
AC115621.1	0	6	0	3	0	1
AC116347.1	93	264	35	61	68	121
AC116353.6	0	6	7	2	1	6
AC116366.3	342	329	248	225	14	136
AC116562.3	97	233	190	205	80	155
AC117378.1	83	68	80	65	75	54
AC117382.1	0	162	39	113	0	123
AC117529.1	10	57	17	29	22	18
AC117529.2	6	15	6	12	6	10
AC118281.1	0	0	195	0	0	19
AC118459.2	547	230	179	242	0	315
AC118465.1	0	8	0	6	0	5
AC118549.1	774	869	376	649	473	972
AC118553.2	62	347	124	142	215	146
AC118758.1	1	1	1	7	5	3
AC119751.3	1	2	1	2	6	0
AC120057.2	0	0	186	241	0	146
AC120114.4	89	108	71	45	0	65
AC121758.2	67	144	170	99	51	83
AC122713.1	1	5	0	4	0	0
AC122718.1	36	50	67	15	0	43
AC122718.2	4	0	0	10	0	13
AC124242.2	18	50	29	20	34	38
AC124283.4	0	6	0	6	0	2
AC124312.1	120	256	142	244	230	185
AC124856.1	3	1	4	2	1	0
AC124916.1	3	4	4	2	1	1
AC124916.2	0	3	0	8	0	0
AC124944.2	262	119	162	88	8	72
AC124947.2	16	74	70	55	55	35
AC125611.2	0	2	0	5	2	7
AC125807.1	6	18	10	9	4	9
AC126124.1	0	4	11	6	0	1
AC126283.2	0	0	0	3	10	0
AC126389.1	1	27	1	19	0	9
AC126603.1	3	23	15	12	10	4
AC126615.1	7	10	4	9	4	9
AC126615.2	0	1	0	1	0	8
AC126755.1	0	11	9	26	45	3
AC127032.3	0	1	0	11	0	0
AC127502.1	84	183	251	81	138	104
AC127502.3	4	54	17	16	0	5
AC129492.3	196	95	136	0	167	25
AC130472.1	7	17	22	30	0	1
AC131056.7	0	0	0	0	20	0
AC131160.1	0	4	0	11	0	14
AC131206.1	189	37	2	49	0	24
AC131235.2	16	17	5	12	1	13
AC131392.1	177	76	35	35	0	35
AC131392.2	35	78	78	57	0	26
AC132008.2	69	438	654	305	107	473
AC132812.1	0	171	4	34	264	70
AC132825.1	8	10	6	8	1246	1804
AC132942.1	15	38	12	27	6	22
AC133435.1	93	26	34	25	3	30
AC133539.1	7	2	2	3	3	0
AC133552.1	33	79	119	63	7	59
AC133552.2	11	74	3	45	0	54
AC133555.4	0	0	0	13	28	0
AC134349.3	0	0	0	18	0	4
AC134669.1	1067	1023	416	442	241	726
AC134878.2	0	9	1	2	0	0
AC134879.2	0	0	0	12	0	2
AC134981.1	0	8	0	17	2	8
AC135050.2	0	8	1	3	0	0
AC135068.2	0	0	19	15	145	0
AC135068.9	2	8	74	10	57	6
AC135352.1	1	4	4	0	0	9
AC135506.1	0	12	0	20	0	25
AC135507.2	0	20	32	20	0	13
AC135628.1	0	4	10	5	0	1
AC135721.1	0	4	0	10	0	3
AC135721.2	11	4	0	2	9	16
AC135983.3	355	468	186	255	265	300
AC135983.4	0	75	85	0	0	53
AC135983.5	0	30	0	18	0	0
AC135983.6	59	52	16	0	0	39
AC136352.8	0	4	89	16	0	15
AC136475.10	0	2	5	5	0	8
AC136616.2	0	7	45	27	6	10
AC136628.3	0	22	37	17	32	12
AC136632.1	13	9	7	7	0	4
AC136632.2	28	10	14	10	24	10
AC136687.2	35	98	66	62	122	46
AC136944.3	8	66	16	36	48	58
AC137499.1	15	32	0	0	0	0
AC138035.3	78	0	0	0	0	0
AC138207.3	1	1	1	2	0	5
AC138207.6	36	24	4	15	0	12
AC138207.8	246	161	281	95	32	103
AC138207.9	26	29	10	39	7	43
AC138356.2	0	23	0	34	0	19
AC138393.1	22	245	60	127	6	96
AC138409.1	220	216	194	215	0	217
AC138409.2	301	306	378	244	9	269
AC138649.2	0	0	0	8	1	7
AC138811.2	4788	5481	1714	2551	1730	2391
AC138866.2	0	0	0	0	0	17
AC138894.1	115	145	92	52	14	53
AC138907.5	0	4	2	4	0	6
AC138932.1	0	4	5	0	0	4
AC138951.1	140	96	0	48	0	31
AC138969.1	37	455	274	256	413	398
AC138969.3	0	0	18	12	0	0
AC139143.1	12	10	9	6	2	9
AC139256.2	21	1280	1529	1021	1139	1445
AC139451.1	0	27	25	7	0	9
AC139491.5	37	80	40	58	39	47
AC139491.7	12	35	38	43	27	32
AC139494.1	1479	2529	967	1421	1341	1494
AC139495.1	31	220	55	129	308	184
AC139495.2	23	62	142	101	84	181
AC139677.2	0	407	139	153	627	94
AC139677.4	0	47	46	39	0	0
AC139713.1	84	0	0	0	0	0
AC139769.1	64	117	58	83	10	109
AC139795.1	44	82	25	29	0	23
AC140076.1	0	3	3	8	0	3
AC141272.1	0	7	0	14	2	0
AC141586.1	548	851	324	432	494	550
AC142381.1	6	3	0	9	0	2
AC144530.1	102	35	6	36	169	6
AC144573.1	44	72	58	39	22	55
AC145029.2	1	5	211	117	90	56
AC145212.1	1	107	102	25	0	8
AC145285.1	19	57	12	34	12	35
AC146335.1	0	0	0	0	0	74
AC146507.1	0	7	0	2	0	2
AC146507.2	8	158	19	59	55	191
AC183084.2	0	21	0	0	0	0
AC209007.1	26	20	9	17	11	21
AC211476.10	34	0	0	0	0	0
AC211476.5	0	56	47	24	0	0
AC211476.8	0	25	53	0	4	10
AC211485.1	12	62	33	44	33	37
AC211486.1	0	18	26	8	0	12
AC213203.1	0	0	20	0	0	1
AC217769.1	8	0	17	0	9	3
AC229888.1	26	4	0	1	0	0
AC233280.16	0	1	0	14	0	1
AC233290.1	0	0	6	0	0	4
AC233755.1	1	13	200	70	743	38
AC233755.2	264	10	0	14	0	11
AC233964.1	32	12	9	7	1	10
AC233968.1	0	14	0	43	0	45
AC234301.1	0	6	303	148	29	65
AC234301.3	0	36	0	69	0	2
AC234778.1	0	5	0	3	1	3
AC234781.5	0	9	0	0	0	6
AC234782.1	0	9	0	1	0	9
AC234782.2	0	3	0	7	0	15
AC236040.3	0	82	34	29	0	52
AC237298.1	0	12	8	9	0	6
AC239618.2	0	5	0	2	0	3
AC239800.3	0	10	0	3	0	15
AC239859.1	0	3	15	1	0	0
AC240274.1	0	284	232	252	0	436
AC241377.3	1	6	2	1	0	0
AC241377.5	6	27	8	7	43	13
AC241520.1	0	2	0	8	0	2
AC241584.1	56	31	25	8	0	21
AC241640.2	0	52	0	0	0	0
AC241952.2	175	279	182	133	0	236
AC242376.2	154	631	504	372	328	255
AC242528.1	0	0	0	0	44	0
AC242842.3	34	160	58	153	114	112
AC243547.3	189	376	151	242	69	216
AC243654.2	1	49	0	32	281	44
AC243733.1	0	5	5	4	3	6
AC243772.3	35	29	3	15	0	32
AC243791.2	0	13	0	8	0	16
AC243807.2	0	0	49	39	0	33
AC243829.3	0	0	0	0	7	10
AC243919.1	542	1255	572	863	468	679
AC243922.2	0	0	0	0	0	30
AC244033.1	0	4	1	5	0	1
AC244034.1	1	9	0	3	0	1
AC244093.1	0	18	0	2	0	0
AC244093.2	0	6	0	9	0	4
AC244197.3	0	137	220	92	481	168
AC244258.1	5	30	18	18	2	26
AC244260.1	0	8	12	20	3	49
AC244394.1	0	5	6	0	0	1
AC244452.3	25	75	28	54	13	34
AC244517.3	1	5	0	2	0	4
AC244636.2	3	6	3	1	1	1
AC244669.1	357	962	382	507	225	488
AC245049.2	172	183	271	122	16	121
AC245060.4	350	1018	331	522	402	694
AC245078.1	31	98	66	70	0	0
AC245078.3	0	16	0	2	0	12
AC245100.2	1	9	0	0	0	5
AC245100.4	43	366	207	256	82	310
AC245452.1	0	0	0	0	0	45
AC245594.1	6	2	2	5	0	2
AC246785.2	54	1	0	3	0	5
AC246787.1	3	5	1	1	0	0
AC253572.1	150	34	0	12	0	5
AC254562.1	0	61	16	44	0	27
AC254813.1	191	403	65	284	0	214
AC254945.1	67	157	27	49	76	65
AC254960.2	78	47	0	44	0	0
AC256203.2	0	0	36	17	5	0
AC256236.2	35	740	566	610	483	712
AC270107.1	0	0	15	37	0	0
AC270107.9	41	130	20	57	15	56
AC270289.1	0	4	15	5	0	15
AC275401.1	0	8	7	4	0	3
ACAA1	166	803	454	408	33	363
ACAA2	1504	3522	797	1283	632	1264
ACACA	161	379	354	248	56	335
ACACB	286	699	592	406	423	676
ACAD10	488	1264	979	762	10	963
ACAD11	43	730	59	591	16	532
ACAD8	16	996	1225	419	336	740
ACAD9	1568	1405	572	699	511	765
ACADL	4	13	3	4	2	2
ACADM	1535	2864	1101	1428	2332	1746
ACADS	300	33	123	12	2	155
ACADSB	317	1175	385	748	575	928
ACADVL	671	1220	388	525	32	691
ACAN	12	49	25	28	12	31
ACAP1	2473	8972	4642	3424	3266	4425
ACAP2	2757	1723	794	879	79	1235
ACAP3	0	24	12	4	2	5
ACAT1	1188	848	279	415	54	583
ACAT2	1986	3541	813	1526	691	2002
ACBD3	123	508	466	333	0	325
ACBD4	232	208	136	171	32	143
ACBD5	437	1100	433	691	209	1002
ACBD6	826	600	539	352	78	345
ACBD7	64	183	84	129	77	98
ACCS	1	703	442	584	0	286
ACD	609	931	1112	543	453	697
ACE	36	30	30	42	28	38
ACE2	0	0	26	0	0	0
ACER1	42	187	189	188	51	182
ACER2	0	0	0	1	0	12
ACER3	649	937	113	456	73	593
ACIN1	725	1779	516	851	410	985
ACKR2	72	320	165	159	414	144
ACKR3	185	162	89	166	0	147
ACLY	1264	4607	2493	2716	491	3833
ACO1	826	942	813	550	8	608
ACO2	3486	5931	3071	3425	1046	3805
ACOT1	0	63	74	69	13	86
ACOT11	211	687	401	504	394	401
ACOT13	1120	2017	1248	1205	1138	1038
ACOT2	12	594	340	321	382	297
ACOT4	15	77	2	49	2	28
ACOT7	5590	3746	2302	1596	1441	1728
ACOT8	385	1121	509	673	6	717
ACOT9	1157	2804	1112	1591	156	1750
ACOX1	1349	2221	563	1272	1270	1415
ACOX3	910	608	237	300	0	504
ACOXL	17	74	49	49	37	41
ACP1	3150	4493	2211	2746	889	2864
ACP2	1932	1684	422	1100	587	1125
ACP3	17	31	12	22	18	18
ACP4	0	0	0	4	108	0
ACP5	487	225	98	68	3	78
ACP6	577	1212	269	552	744	342
ACP7	26	102	39	61	34	56
ACRBP	62	7	15	23	0	13
ACRV1	0	9	0	1	0	5
ACSBG1	63	301	46	78	35	131
ACSBG2	0	6	0	0	0	6
ACSF2	29	118	83	125	33	154
ACSF3	139	1010	810	609	372	699
ACSL1	16	161	545	130	1126	87
ACSL3	255	457	340	345	128	366
ACSL4	882	661	524	553	553	551
ACSL5	1363	2383	1231	1203	866	1293
ACSL6	155	47	28	73	56	81
ACSM1	0	0	43	6	0	6
ACSM2A	86	145	87	104	39	65
ACSM2B	6	60	15	40	45	48
ACSM3	174	140	22	129	15	61
ACSM5	2	4	0	1	0	3
ACSM6	1	9	1	7	1	4
ACSS1	323	351	95	237	302	287
ACSS2	80	84	165	33	26	72
ACSS3	7	7	3	4	9	1
ACTA1	8	8	0	2	0	3
ACTA2	146	151	87	108	70	134
ACTB	83364	58813	24797	343	33196	56321
ACTBP1	10	17	11	7	8	16
ACTBP11	40	27	12	7	31	20
ACTBP13	17	33	16	34	9	12
ACTBP14	17	8	5	3	2	9
ACTBP2	54	27	9	8	6	18
ACTBP6	6	1	2	1	0	4
ACTBP7	21	9	22	7	9	8
ACTBP8	19	16	2	4	8	12
ACTBP9	48	19	14	12	6	16
ACTC1	5	3	1	1	2	1
ACTG1	40329	37127	16850	24018	13741	22813
ACTG1P1	10	52	25	23	3	40
ACTG1P10	54	174	146	125	4	38
ACTG1P12	4	7	2	1	1	3
ACTG1P14	38	291	57	105	235	115
ACTG1P15	12	8	3	3	4	9
ACTG1P16	3	3	0	0	2	2
ACTG1P17	35	92	43	61	32	65
ACTG1P19	29	8	9	6	6	11
ACTG1P2	187	167	6	4	3	5
ACTG1P20	6	43	71	37	185	25
ACTG1P21	12	12	0	4	4	12
ACTG1P23	15	6	6	2	3	10
ACTG1P24	6	11	1	1	1	13
ACTG1P3	1	6	0	5	1	6
ACTG1P9	109	139	66	89	105	86
ACTG2	39	38	12	5	2	15
ACTL10	14	6	0	3	0	11
ACTL6A	1681	1766	629	981	876	1005
ACTN1	112	335	446	318	117	144
ACTN4	1458	2200	604	1108	695	1293
ACTR10	3115	3732	1195	2045	1606	2676
ACTR1A	1260	3532	1401	1997	1466	2300
ACTR1B	1173	1062	396	738	28	678
ACTR2	14379	14844	6347	8395	3627	9765
ACTR3	11429	10714	4354	5493	3053	6691
ACTR3B	80	486	204	198	52	195
ACTR3C	107	162	67	126	15	144
ACTR5	115	162	0	63	128	87
ACTR6	1129	1821	631	1145	171	1084
ACTR8	2506	1240	695	920	714	1009
ACTRT3	0	15	0	9	0	10
ACVR1	498	751	220	343	364	255
ACVR1B	213	240	127	117	367	95
ACVR1C	0	34	0	6	0	3
ACVR2A	832	2212	1994	3327	1511	1889
ACVR2B	265	206	601	195	38	237
ACVRL1	13	31	14	21	13	7
ACY1	423	1016	492	544	539	467
ACY3	0	1	0	37	0	3
ACYP1	181	555	172	243	93	352
ACYP2	391	503	273	258	52	367
AD000091.1	16	11	6	0	0	0
AD000671.1	107	276	116	185	0	148
AD000671.2	639	643	252	106	97	336
ADA	1	236	123	165	3	84
ADA2	998	2595	1409	1780	1979	2433
ADAD1	0	6	2	7	26	5
ADAD2	4	101	8	47	1	25
ADAL	298	428	165	407	15	209
ADAM10	9003	16144	7832	8361	4886	10242
ADAM12	623	559	687	468	216	419
ADAM15	4	86	120	14	21	38
ADAM17	303	1497	845	950	264	1184
ADAM19	6163	12319	3125	4742	6584	8055
ADAM1B	13	60	78	37	20	25
ADAM20	0	0	0	6	0	7
ADAM20P1	0	2	0	7	0	8
ADAM22	127	177	18	61	1	71
ADAM28	214	1743	1068	1315	3644	1820
ADAM29	14	53	13	27	50	39
ADAM32	159	498	396	375	338	369
ADAM33	2	5	8	5	4	5
ADAM3A	35	31	44	52	4	28
ADAM8	43	237	137	47	880	132
ADAM9	26	213	158	72	483	153
ADAMTS1	32	79	47	46	27	51
ADAMTS10	39	36	51	24	2	33
ADAMTS13	0	19	3	10	0	6
ADAMTS16	19	14	18	19	17	20
ADAMTS17	5	53	37	34	0	28
ADAMTS2	17	34	20	22	17	52
ADAMTS4	188	395	276	316	302	265
ADAMTS6	41	0	0	2	0	3
ADAMTS7P4	23	44	29	30	26	35
ADAMTS8	0	17	8	8	1	11
ADAMTS9	1	2	0	6	1	5
ADAMTSL2	15	32	62	23	36	34
ADAMTSL3	609	1928	947	1256	783	1199
ADAMTSL4	7	25	3	25	1	32
ADAMTSL5	8	20	21	20	29	12
ADAP1	249	113	77	48	0	166
ADAP2	1	11	9	5	3	5
ADAR	2268	5989	2630	3612	2681	3897
ADARB1	46	58	196	39	19	62
ADARB2	141	332	28	36	25	26
ADAT1	1802	1793	915	936	406	971
ADAT2	241	533	221	325	43	380
ADCK1	900	291	47	164	0	207
ADCK2	223	250	278	95	0	111
ADCK5	1	32	183	25	459	153
ADCY1	12	52	15	33	5	34
ADCY10	0	8	0	1	0	4
ADCY10P1	26	54	44	19	4	27
ADCY2	75	167	113	123	114	110
ADCY3	1447	1094	853	604	109	636
ADCY4	6	49	20	50	2	36
ADCY5	0	0	0	0	0	15
ADCY6	435	461	489	254	15	334
ADCY7	190	1346	634	767	1336	1347
ADCY9	17	147	83	58	32	68
ADD1	1271	4314	1981	2429	930	3080
ADD2	15	120	13	36	25	40
ADD3	2343	6096	3675	2873	172	3021
ADGB	5	11	10	5	2	16
ADGRA2	0	130	0	117	1	56
ADGRA3	36	156	117	87	26	122
ADGRD1	485	682	566	551	45	293
ADGRD2	66	226	118	126	124	136
ADGRE1	182	291	35	10	0	23
ADGRE2	57	301	182	296	133	248
ADGRE3	0	26	0	1	0	0
ADGRE4P	4	4	1	3	1	1
ADGRE5	7181	12972	4173	6152	5627	6937
ADGRF1	109	219	164	150	94	136
ADGRF2	3	10	12	4	0	0
ADGRF3	16	35	9	16	0	12
ADGRF5P1	1	0	0	20	1	6
ADGRG1	83	172	525	86	51	94
ADGRG2	129	346	210	216	164	219
ADGRG3	9226	2483	2860	485	2610	2228
ADGRG5	5	220	214	270	4	194
ADGRG6	0	16	84	34	46	1
ADGRL1	0	279	255	171	1	137
ADGRL2	0	30	0	6	0	0
ADGRV1	245	469	373	349	437	295
ADH1B	27	116	56	52	50	56
ADH4	14	31	19	11	28	22
ADH5	2363	2196	668	1360	260	1258
ADHFE1	482	551	131	247	267	376
ADI1	517	884	795	566	738	620
ADIPOQ	37	125	87	92	69	88
ADIPOR1	710	874	228	455	860	691
ADIPOR2	42	378	159	231	812	331
ADIRF	0	0	11	2	0	0
ADK	1872	1544	885	954	54	1088
ADM	0	9	2	42	0	42
ADM2	11	41	23	32	16	37
ADNP	3967	6317	3537	3773	1612	2592
ADNP2	707	569	160	411	1	432
ADO	71	249	70	145	0	147
ADORA1	0	14	0	3	0	30
ADORA2A	0	111	116	35	259	88
ADORA2B	0	23	2	52	5	8
ADPGK	768	1338	663	986	1448	1014
ADPRH	409	265	131	286	0	201
ADPRHL1	14	87	16	36	19	32
ADPRM	811	1163	259	1010	453	736
ADPRS	29	230	50	133	523	180
ADRA1A	75	173	98	136	151	108
ADRB2	6	63	59	17	11	199
ADRB3	3	9	1	6	5	2
ADRM1	2262	2182	867	854	568	1327
ADSL	2885	4068	1776	1857	1231	2031
ADSS1	27	149	73	98	45	116
